iteration,timestamp,avg_fitness,general_MAX_CLUSTER_DISTANCE,general_MAX_CLUSTER_JOIN_DISTANCE,populationSize,generations,newChromosomes,eliminator_type,eliminator_elitism,eliminator_survivalRate,eliminator_p,mutator_comp_p,mutator_child1_numMutations,mutator_child1_p,mutator_child1_weight,mutator_child2_numMutations,mutator_child2_p,mutator_child2_weight,crossover_comp_p,crossover_child1_geoP,crossover_child1_crossoverProb,crossover_child1_weight,crossover_child2_geoP,crossover_child2_crossoverProb,crossover_child2_weight,crossover_child3_p,crossover_child3_weight,crossover_child4_k,crossover_child4_p,crossover_child4_weight,crossover_child5_k,crossover_child5_p,crossover_child5_weight,selection_type,selection_tournamentSize,fast_smal_instance.job_fitness
11,2026-06-14T16:36:35.377208,20.173942118822673,1.4581400152838364,14.887795912700573,5000,8000,30,EliteGeometricEliminator,17,0.39620437583201823,0.42178127728878867,1.0,10,0.1,0.1,9,0.9,0.1,0.99999,0.16767383478836873,0.42875249876569954,0.6168186955836319,0.48266962982365036,0.7571958954286977,0.828341459839215,0.6605299155661637,0.8401478142343108,3,0.1,1.0,8,0.6356921394161581,0.7587096483265444,TournamentSelection,4,20.173942118822673
12,2026-06-14T16:51:36.479110,20.61832557413004,12.0,20.0,5000,8000,3,EliteGeometricEliminator,1,0.23498900204950318,0.95,1.0,1,0.5955886956168236,1.0,10,0.9,0.39456568977725126,0.99999,0.7431498295124042,0.31961866328997035,0.1,0.8,0.95,0.1,0.7624095137374401,0.1,8,0.36553655959903386,0.5511177801662441,8,0.1,1.0,TournamentSelection,2,20.61832557413004
13,2026-06-14T16:53:06.130460,19.412841597422286,12.0,11.637284738668896,5000,500,18,EliteGeometricEliminator,1,0.2572272978507698,0.713247850090053,1.0,1,0.1,0.17635919432058395,12,0.3463864644831679,0.5838375384885598,0.9999906083823784,0.1,0.949730741003261,0.1,0.8,0.95,0.1,0.23853950905407015,0.2253077685441005,6,0.299920707571932,0.4113794649155966,8,0.1,1.0,TournamentSelection,4,19.412841597422286
14,2026-06-14T17:08:07.273423,20.037967394379294,12.0,20.0,5000,8000,2,EliteGeometricEliminator,1,0.26596433002237174,0.95,1.0,1,0.5097498738916374,1.0,8,0.9,0.32559358520170684,0.99999,0.6830243091914588,0.373273142125807,0.1,0.8,0.95,0.1,0.8018696761550437,0.1,8,0.25313909068774,0.6388652600673969,8,0.1,1.0,TournamentSelection,2,20.037967394379294
15,2026-06-14T17:19:15.172377,20.40305087315191,12.0,8.739105149577577,5000,8000,1,EliteGeometricEliminator,1,0.05,0.95,0.99999,1,0.9,1.0,20,0.9,0.1,0.99999,0.8,0.1,0.1,0.8,0.1,1.0,0.16291762909549207,0.1,8,0.9,1.0,2,0.9,0.1,TournamentSelection,2,20.40305087315191
16,2026-06-14T17:19:22.191434,17.2385362817943,11.999999940775504,2.0000001160590517,50,5000,30,EliteEliminator,19,0.5,0.10000000046298178,0.9999900000000265,10,0.38515768899658764,0.999999999526871,12,0.11542088935797207,0.9999999958294276,0.99999,0.8,0.95,0.10000000292002192,0.5028710907749195,0.1000000005802584,0.9999999949697542,0.11865357434735305,0.1055994589757625,6,0.18409961411049364,0.9999999948621744,7,0.1,0.999999998809187,TournamentSelection,4,17.2385362817943
17,2026-06-14T17:30:44.261729,19.910055007173455,1.5052322964857834,11.514583744608167,5000,8000,18,EliteGeometricEliminator,20,0.0667658806611599,0.95,0.9999934552023527,8,0.9,0.8978596990694242,20,0.9,0.1,0.99999,0.8,0.1,0.7689310382891898,0.45173725858950187,0.1,1.0,0.49022542912207656,0.7882276178091,7,0.9,0.9995229091015569,5,0.9,0.32039329907414354,TournamentSelection,3,19.910055007173455
18,2026-06-14T17:31:21.356777,18.633147929967322,1.0,12.558508279098326,1000,2000,3,EliteEliminator,5,0.05,0.95,0.9999986632337919,7,0.663229310475059,0.31823660486586697,20,0.7413875781834434,0.2624804284782269,1.0,0.1,0.1,1.0,0.3434403123746276,0.5994548958338206,0.6193947716090339,0.8977772203192065,1.0,6,0.6102809737471585,0.4245838101639885,2,0.4593623737721948,0.5216161455988518,TournamentSelection,2,18.633147929967322
19,2026-06-14T17:42:45.628831,17.352966130452522,12.0,2.0,5000,8000,30,EliteGeometricEliminator,1,0.05,0.1,0.99999,1,0.1,0.1,20,0.9,0.1,0.99999,0.1,0.269337209154896,0.1,0.8,0.1,1.0,0.1,0.1,2,0.9,1.0,2,0.9,0.1,RankSelection,6,17.352966130452522
20,2026-06-14T17:45:25.705332,20.528061756478337,10.451747886192505,19.1503810551001,5000,2000,30,EliteGeometricEliminator,1,0.05,0.13419193852997857,0.9999933702698183,4,0.4176965203938764,0.24072172160595517,5,0.9,0.3365409238028031,0.9999902209037526,0.8,0.1,0.13426622201199695,0.8,0.11334917904310204,0.5891287557473202,0.9,0.9917522223758245,5,0.5908642863504596,0.4619280485927043,8,0.9,0.1,TournamentSelection,6,20.528061756478337
